# nb_elements       nb_clocks_vector    nb_clocks_deque     nb_clocks_list      
10000               398                 332                 869                 
20000               395                 373                 864                 
30000               340                 391                 864                 
40000               396                 335                 853                 
50000               333                 351                 853                 
60000               342                 342                 815                 
70000               407                 334                 787                 
80000               365                 344                 851                 
90000               346                 339                 950                 
100000              337                 352                 816                 
110000              359                 345                 837                 
120000              354                 371                 854                 
130000              335                 420                 1141                
140000              707                 465                 1035                
150000              439                 442                 1136                
160000              513                 463                 1077                
170000              456                 472                 1430                
180000              620                 658                 1457                
190000              619                 438                 868                 
200000              341                 348                 860                 
210000              341                 361                 1094                
220000              413                 395                 841                 
230000              336                 345                 850                 
240000              348                 342                 920                 
250000              345                 452                 1065                
260000              343                 365                 959                 
270000              1023                335                 792                 
280000              341                 345                 781                 
290000              365                 333                 808                 
300000              340                 361                 841                 
310000              354                 380                 833                 
320000              349                 344                 840                 
330000              422                 439                 885                 
340000              338                 343                 852                 
350000              339                 370                 858                 
360000              337                 338                 846                 
370000              385                 349                 834                 
380000              337                 354                 886                 
390000              337                 339                 845                 
400000              349                 340                 851                 
410000              338                 341                 899                 
420000              423                 362                 927                 
430000              361                 345                 994                 
440000              438                 494                 1036                
450000              440                 461                 926                 
460000              339                 354                 872                 
470000              347                 345                 828                 
480000              340                 421                 831                 
490000              338                 347                 833                 
500000              350                 341                 828                 
510000              339                 365                 832                 
520000              351                 347                 839                 
530000              1006                323                 770                 
540000              335                 324                 765                 
550000              329                 326                 812                 
560000              347                 332                 760                 
570000              336                 327                 757                 
580000              344                 327                 846                 
590000              336                 344                 840                 
600000              339                 342                 839                 
610000              349                 344                 831                 
620000              343                 344                 995                 
630000              433                 407                 847                 
640000              338                 356                 847                 
650000              338                 340                 844                 
660000              352                 355                 863                 
670000              334                 342                 839                 
680000              356                 341                 872                 
690000              337                 355                 851                 
700000              336                 341                 845                 
710000              347                 389                 860                 
720000              342                 360                 1083                
730000              445                 477                 1183                
740000              450                 461                 862                 
750000              340                 368                 884                 
760000              354                 345                 844                 
770000              336                 349                 849                 
780000              356                 347                 919                 
790000              353                 346                 864                 
800000              343                 362                 866                 
810000              331                 344                 882                 
820000              340                 497                 1148                
830000              446                 452                 1144                
840000              465                 472                 1190                
850000              460                 446                 855                 
860000              349                 345                 848                 
870000              341                 396                 848                 
880000              340                 363                 824                 
890000              349                 349                 855                 
900000              338                 353                 837                 
910000              351                 345                 844                 
920000              340                 382                 874                 
930000              343                 343                 866                 
940000              380                 430                 916                 
950000              339                 354                 824                 
960000              331                 337                 838                 
970000              343                 341                 867                 
980000              337                 341                 857                 
990000              354                 348                 957                 
1000000             338                 357                 913                 
